speaker_id,speaker_key,part,age,gender,ethnicity,age_group,tsne_1,tsne_2
0001,,,2X,F,MALAY,2X,3.7703104,-23.07585
0004,,,2X,F,CHINESE,2X,2.4433804,-21.92787
0005,,,4X,F,CHINESE,4X,6.055453,-19.961731
0006,,,3X,M,CHINESE,3X,-2.023848,-2.7715476
0007,,,3X,M,CHINESE,3X,-0.43875048,-6.382478
0008,,,2X,M,CHINESE,2X,-0.53644186,-2.7515144
0009,,,2X,M,CHINESE,2X,-1.6650034,-3.9925666
0010,,,2X,M,CHINESE,2X,-1.4432186,-9.352439
0012,,,2X,M,CHINESE,2X,-0.2106219,-7.2665615
0013,,,3X,M,MALAY,3X,-8.307209,0.32472908
0018,,,4X,M,CHINESE,4X,-3.5098526,-1.5127273
0019,,,4X,M,CHINESE,4X,-14.556236,2.048165
0023,,,5X,F,CHINESE,5X,1.0778391,-25.079271
0024,,,2X,M,CHINESE,2X,-10.260981,1.0068767
0025,,,5X,F,CHINESE,5X,1.5900056,-22.973984
0026,,,5X,F,CHINESE,5X,-22.036245,-5.79039
0027,,,5X,F,CHINESE,5X,7.618618,-21.559237
0029,,,2X,F,CHINESE,2X,-22.556433,-17.910109
0030,,,5X,M,CHINESE,5X,-18.213987,1.200692
0032,,,4X,F,CHINESE,4X,6.459979,-22.422909
0033,,,2X,F,CHINESE,2X,9.993688,-19.338165
0035,,,2X,M,CHINESE,2X,-6.236991,-2.6479518
0036,,,3X,M,CHINESE,3X,-8.243865,38.33352
0037,,,2X,F,INDIAN,2X,1.55968,-16.424782
0038,,,2X,F,CHINESE,2X,-9.140532,31.534857
0040,,,3X,F,CHINESE,3X,-8.926859,-16.119083
0041,,,2X,F,CHINESE,2X,-23.706682,-0.7170269
0042,,,5X,M,CHINESE,5X,-14.570477,-3.2818172
0043,,,4X,M,CHINESE,4X,-15.04409,-2.7613244
0044,,,5X,M,CHINESE,5X,-11.124427,-1.1976632
0045,,,2X,F,MALAY,2X,-8.817871,15.856042
0046,,,3X,M,CHINESE,3X,-16.088799,0.7038228
0047,,,2X,M,INDIAN,2X,-7.8601704,-3.4149003
0049,,,3X,M,CHINESE,3X,-7.6952896,-3.1638236
0052,,,4X,M,CHINESE,4X,-15.366322,-1.9805361
0053,,,2X,F,CHINESE,2X,-24.333782,-0.52406585
0054,,,2X,F,CHINESE,2X,-24.095976,-0.9787925
0056,,,2X,M,CHINESE,2X,-17.637928,-0.52233464
0057,,,2X,F,CHINESE,2X,-22.906311,0.96192294
0058,,,1X,F,CHINESE,1X,-3.2693577,-26.545687
0059,,,2X,M,CHINESE,2X,-1.9131933,-15.691822
0060,,,6X,F,CHINESE,6X,10.591576,-5.9463925
0062,,,4X,F,CHINESE,4X,26.744566,0.65494174
0064,,,3X,F,CHINESE,3X,24.529385,-6.2887855
0066,,,2X,F,CHINESE,2X,13.579531,-1.5691515
0067,,,3X,F,CHINESE,3X,-26.405624,-9.259599
0068,,,2X,F,CHINESE,2X,13.6273575,-1.8797905
0070,,,5X,M,INDIAN,5X,14.67577,13.830767
0071,,,2X,F,CHINESE,2X,1.321106,-20.695099
0073,,,4X,F,CHINESE,4X,-7.91749,-16.170921
0074,,,2X,M,CHINESE,2X,-8.87751,-15.477332
0075,,,2X,M,MALAY,2X,-17.2412,-3.6806943
0076,,,4X,F,CHINESE,4X,-21.06931,-15.067893
0077,,,4X,F,CHINESE,4X,-23.495596,-6.2482
0078,,,2X,M,MALAY,2X,-9.6157055,-2.2706394
0079,,,2X,F,CHINESE,2X,-19.688057,-17.7563
0080,,,3X,F,CHINESE,3X,-19.357265,-15.229194
0081,,,2X,F,CHINESE,2X,-13.421556,-12.766507
0082,,,3X,F,CHINESE,3X,-19.484198,-15.808999
0083,,,4X,M,CHINESE,4X,-16.457537,-1.6979707
0085,,,3X,F,CHINESE,3X,-20.59131,-15.818463
0087,,,2X,F,CHINESE,2X,-8.652317,-15.532057
0090,,,5X,F,CHINESE,5X,-22.722593,-6.770786
0091,,,2X,F,CHINESE,2X,-20.559523,-1.0185903
0092,,,3X,F,CHINESE,3X,-17.617842,-4.624331
0095,,,4X,F,CHINESE,4X,-22.791376,-15.612037
0096,,,3X,M,MALAY,3X,-14.681423,-4.2677402
0097,,,4X,F,CHINESE,4X,3.0416422,-20.374056
0099,,,2X,M,CHINESE,2X,-16.47278,2.2333994
0100,,,2X,F,CHINESE,2X,-19.453247,15.754067
0101,,,5X,F,CHINESE,5X,-17.983921,16.149426
0105,,,2X,F,CHINESE,2X,-22.94166,16.901773
0106,,,5X,F,CHINESE,5X,-26.553593,-5.517023
0107,,,3X,M,CHINESE,3X,-21.198574,9.122347
0108,,,3X,F,CHINESE,3X,-18.911999,20.360147
0109,,,2X,F,CHINESE,2X,-10.014057,33.11691
0110,,,2X,F,INDIAN,2X,-27.725456,-7.3635726
0111,,,2X,M,CHINESE,2X,-19.753847,13.838933
0112,,,2X,F,CHINESE,2X,-23.620361,16.918274
0114,,,3X,F,CHINESE,3X,-20.857134,12.405389
0115,,,2X,F,CHINESE,2X,-23.913137,17.329432
0116,,,2X,M,MALAY,2X,-4.5170474,32.866573
0117,,,2X,M,CHINESE,2X,-2.5438952,-1.7408148
0119,,,2X,F,CHINESE,2X,-9.527924,32.809044
0120,,,5X,M,MALAY,5X,-8.090907,-6.8060584
0121,,,5X,F,CHINESE,5X,-22.355055,-8.9102
0124,,,6X,F,CHINESE,6X,-16.62972,20.399572
0125,,,2X,M,CHINESE,2X,-8.732656,37.051334
0126,,,2X,M,CHINESE,2X,-21.4593,23.03885
0127,,,2X,M,CHINESE,2X,-20.866266,23.067993
0129,,,2X,M,CHINESE,2X,0.8368767,-2.8244288
0131,,,3X,M,CHINESE,3X,-20.03226,24.695154
0132,,,4X,F,CHINESE,4X,-25.103065,-7.506786
0135,,,3X,F,CHINESE,3X,-19.497355,20.626776
0136,,,2X,F,CHINESE,2X,-23.715607,15.7690325
0137,,,4X,F,MALAY,4X,-16.256271,18.659386
0139,,,2X,F,CHINESE,2X,-20.147985,21.292177
0142,,,6X,F,CHINESE,6X,-18.40275,18.573833
0143,,,1X,M,MALAY,1X,-20.736862,23.863934
0144,,,2X,F,CHINESE,2X,-18.380922,20.986061
0147,,,3X,M,CHINESE,3X,-6.7764897,36.054764
0149,,,2X,F,CHINESE,2X,-19.169949,21.589085
0151,,,3X,F,CHINESE,3X,-13.019087,35.312565
0152,,,2X,F,CHINESE,2X,-20.997478,-17.200829
0153,,,2X,M,MALAY,2X,-4.300227,-5.5073037
0155,,,4X,M,MALAY,4X,-16.739885,26.739286
0156,,,2X,F,INDIAN,2X,4.077665,-24.90459
0157,,,2X,F,CHINESE,2X,-22.417923,-0.26525414
0158,,,2X,F,CHINESE,2X,-2.0384316,-23.62294
0159,,,3X,M,CHINESE,3X,-1.2965761,-3.703612
