speaker_id,speaker_key,part,age,gender,ethnicity,age_group,tsne_1,tsne_2
860519,,,4X,M,MALAY,4X,1.6935548,-2.4914107
862027,,,1X,M,CHINESE,1X,-0.15627533,-9.115457
862029,,,2X,M,CHINESE,2X,-11.988336,5.3519387
862031,,,1X,M,MALAY,1X,-5.3711967,-0.7520003
862032,,,5X,F,CHINESE,5X,7.6777225,-2.04923
862033,,,2X,F,CHINESE,2X,-5.337543,-13.1846485
862034,,,5X,M,INDIAN,5X,-8.042272,4.97836
862040,,,2X,F,INDIAN,2X,6.315121,4.4764924
862041,,,2X,F,CHINESE,2X,7.877239,4.926818
862042,,,2X,M,MALAY,2X,-9.853402,6.253458
862043,,,5X,F,CHINESE,5X,7.9979954,-1.5131156
862044,,,3X,M,INDIAN,3X,-8.494889,6.6467996
862049,,,2X,M,INDIAN,2X,-5.1192904,1.0060184
862070,,,2X,M,MALAY,2X,1.322262,-8.130674
862071,,,2X,M,CHINESE,2X,-10.978813,5.067324
862083,,,2X,M,CHINESE,2X,-15.220833,6.3584394
862085,,,2X,M,CHINESE,2X,-12.295206,3.6350827
862090,,,1X,M,MALAY,1X,-6.921706,2.6718168
862091,,,5X,F,CHINESE,5X,7.1151023,-1.4199542
862092,,,2X,M,INDIAN,2X,-10.870387,7.470209
862094,,,2X,F,CHINESE,2X,3.8442569,-10.7808695
862095,,,2X,F,CHINESE,2X,12.233813,1.9540716
862098,,,4X,F,CHINESE,4X,6.52355,-1.089658
862136,,,2X,F,CHINESE,2X,12.115144,-1.2128742
862145,,,2X,M,MALAY,2X,-7.5682125,1.1052607
862146,,,2X,F,CHINESE,2X,10.483541,2.7417727
862147,,,2X,M,MALAY,2X,-9.394026,5.7913094
862177,,,2X,M,MALAY,2X,-14.9208355,-0.08590547
862178,,,1X,F,CHINESE,1X,12.868099,3.197933
862180,,,1X,M,CHINESE,1X,-4.250994,-7.8234935
862181,,,4X,M,CHINESE,4X,-11.1392975,2.9646719
862183,,,4X,F,CHINESE,4X,9.034414,-0.07265972
862186,,,4X,F,CHINESE,4X,8.103287,0.29277295
862188,,,6X,M,INDIAN,6X,-8.085449,4.0131083
862189,,,2X,M,MALAY,2X,-8.128664,0.9418651
862190,,,2X,M,MALAY,2X,-7.9012933,-0.9181372
862192,,,2X,F,CHINESE,2X,9.111122,4.068236
862193,,,2X,F,CHINESE,2X,7.9862404,4.706702
862195,,,1X,M,CHINESE,1X,-12.144552,-2.0364583
862223,,,4X,F,CHINESE,4X,-1.8153021,-3.838005
862237,,,3X,M,CHINESE,3X,-5.5416956,1.9454542
862238,,,1X,F,INDIAN,1X,6.854049,1.8478619
862239,,,1X,M,INDIAN,1X,-6.313434,2.5061486
862243,,,1X,M,INDIAN,1X,-11.573487,8.684245
862245,,,4X,F,INDIAN,4X,5.1348033,2.1686494
862276,,,2X,F,CHINESE,2X,11.082538,1.9062523
862277,,,3X,M,CHINESE,3X,-1.9934726,-10.204028
862279,,,2X,M,MALAY,2X,-9.245074,7.2668614
862280,,,3X,M,CHINESE,3X,-13.010019,1.7565746
862283,,,1X,F,CHINESE,1X,-0.371882,5.42279
862285,,,3X,F,MALAY,3X,5.3586206,-8.626262
862286,,,2X,F,CHINESE,2X,6.3583155,6.332599
862289,,,1X,M,CHINESE,1X,-15.177292,6.266474
862290,,,2X,M,CHINESE,2X,14.676194,1.333047
862293,,,3X,M,CHINESE,3X,-10.883416,4.7720823
862330,,,2X,F,MALAY,2X,-4.405252,-12.771958
862331,,,1X,F,CHINESE,1X,10.02587,5.747429
862332,,,1X,F,CHINESE,1X,12.707191,4.419262
862333,,,5X,F,CHINESE,5X,2.8279514,-0.73589337
862334,,,2X,M,INDIAN,2X,-13.4017315,-0.7026493
862335,,,2X,F,INDIAN,2X,0.3052695,2.6213777
862336,,,1X,F,MALAY,1X,-2.4222069,-7.145623
862338,,,1X,F,CHINESE,1X,-0.13036722,4.072145
862339,,,6X,M,CHINESE,6X,-11.376199,0.93343145
862342,,,2X,F,CHINESE,2X,-1.1110532,-0.17553751
862343,,,5X,F,CHINESE,5X,7.498132,-3.1991658
862372,,,2X,M,INDIAN,2X,-7.5090714,5.8934336
862376,,,2X,F,CHINESE,2X,-1.4713947,6.0712404
862378,,,2X,M,CHINESE,2X,-11.9351225,1.546201
862379,,,1X,M,MALAY,1X,-8.89234,-0.0384013
862380,,,4X,F,MALAY,4X,4.013164,4.5373306
862383,,,1X,M,INDIAN,1X,-6.811132,-1.8304964
862384,,,1X,F,INDIAN,1X,3.0748518,5.094538
