speaker_id,age,gender,ethnicity
862025,2X,M,MALAY
862177,2X,M,MALAY
862070,2X,M,MALAY
862370,2X,F,MALAY
862135,2X,F,MALAY
862275,2X,M,MALAY
862026,1X,F,CHINESE
862178,1X,F,CHINESE
862071,2X,M,CHINESE
862371,2X,M,CHINESE
862136,2X,F,CHINESE
862276,2X,F,CHINESE
862027,1X,M,CHINESE
862180,1X,M,CHINESE
862137,2X,F,CHINESE
862277,3X,M,CHINESE
862181,4X,M,CHINESE
862223,4X,F,CHINESE
862138,3X,M,MALAY
862278,3X,M,MALAY
862225,2X,F,MALAY
862330,2X,F,MALAY
862279,2X,M,MALAY
862372,2X,M,INDIAN
862139,4X,F,CHINESE
862182,4X,F,CHINESE
862073,2X,M,CHINESE
862226,2X,F,CHINESE
862029,2X,M,CHINESE
862183,4X,F,CHINESE
862141,2X,F,CHINESE
862030,2X,F,CHINESE
862227,1X,F,CHINESE
862331,1X,F,CHINESE
862185,2X,M,CHINESE
862031,1X,M,MALAY
862075,1X,F,MALAY
862228,1X,F,CHINESE
862332,1X,F,CHINESE
862076,3X,M,CHINESE
862280,3X,M,CHINESE
862032,5X,F,CHINESE
862186,4X,F,CHINESE
862142,1X,F,CHINESE
862229,2X,M,CHINESE
862033,2X,F,CHINESE
862187,1X,F,CHINESE
862281,5X,F,CHINESE
862333,5X,F,CHINESE
862078,3X,M,CHINESE
862376,2X,F,CHINESE
862144,2X,M,CHINESE
862034,5X,M,INDIAN
862188,6X,M,INDIAN
862145,2X,M,MALAY
862282,2X,M,MALAY
862189,2X,M,MALAY
862232,3X,M,CHINESE
862036,1X,F,CHINESE
862378,2X,M,CHINESE
862146,2X,F,CHINESE
862283,1X,F,CHINESE
862190,2X,M,MALAY
862379,1X,M,MALAY
862147,2X,M,MALAY
862233,2X,M,MALAY
862038,1X,F,MALAY
862080,2X,F,MALAY
862082,1X,M,MALAY
862083,2X,M,CHINESE
862334,2X,M,INDIAN
862234,1X,F,INDIAN
862039,5X,M,CHINESE
862084,4X,F,MALAY
862335,2X,F,INDIAN
862285,3X,F,MALAY
862426,3X,M,CHINESE
862040,2X,F,INDIAN
862192,2X,F,CHINESE
862336,1X,F,MALAY
862427,4X,F,CHINESE
862041,2X,F,CHINESE
862193,2X,F,CHINESE
