attribute,split,category,n_speakers
gender,test,F,55
gender,test,M,42
gender,train,F,255
gender,train,M,212
gender,val,F,53
gender,val,M,50
gender,all,F,363
gender,all,M,304
ethnicity,test,CHINESE,57
ethnicity,test,INDIAN,18
ethnicity,test,MALAY,22
ethnicity,train,CHINESE,283
ethnicity,train,INDIAN,96
ethnicity,train,MALAY,88
ethnicity,val,CHINESE,63
ethnicity,val,INDIAN,23
ethnicity,val,MALAY,17
ethnicity,all,CHINESE,403
ethnicity,all,INDIAN,137
ethnicity,all,MALAY,127
age_bin,test,1X,6
age_bin,test,2X,38
age_bin,test,3X,27
age_bin,test,4X,16
age_bin,test,5X,9
age_bin,test,6X,1
age_bin,train,1X,33
age_bin,train,2X,190
age_bin,train,3X,126
age_bin,train,4X,64
age_bin,train,5X,40
age_bin,train,6X,14
age_bin,val,1X,10
age_bin,val,2X,40
age_bin,val,3X,26
age_bin,val,4X,13
age_bin,val,5X,11
age_bin,val,6X,3
age_bin,all,1X,49
age_bin,all,2X,268
age_bin,all,3X,179
age_bin,all,4X,93
age_bin,all,5X,60
age_bin,all,6X,18
gender_ethnicity_age,test,F_CHINESE_1X,3
gender_ethnicity_age,test,F_CHINESE_2X,19
gender_ethnicity_age,test,F_CHINESE_3X,9
gender_ethnicity_age,test,F_CHINESE_4X,4
gender_ethnicity_age,test,F_CHINESE_5X,2
gender_ethnicity_age,test,F_INDIAN_1X,1
gender_ethnicity_age,test,F_INDIAN_2X,2
gender_ethnicity_age,test,F_INDIAN_3X,2
gender_ethnicity_age,test,F_INDIAN_4X,3
gender_ethnicity_age,test,F_INDIAN_5X,1
gender_ethnicity_age,test,F_MALAY_2X,2
gender_ethnicity_age,test,F_MALAY_3X,3
gender_ethnicity_age,test,F_MALAY_4X,3
gender_ethnicity_age,test,F_MALAY_5X,1
gender_ethnicity_age,test,M_CHINESE_1X,1
gender_ethnicity_age,test,M_CHINESE_2X,8
gender_ethnicity_age,test,M_CHINESE_3X,4
gender_ethnicity_age,test,M_CHINESE_4X,3
gender_ethnicity_age,test,M_CHINESE_5X,3
gender_ethnicity_age,test,M_CHINESE_6X,1
gender_ethnicity_age,test,M_INDIAN_2X,4
gender_ethnicity_age,test,M_INDIAN_3X,3
gender_ethnicity_age,test,M_INDIAN_4X,1
gender_ethnicity_age,test,M_INDIAN_5X,1
gender_ethnicity_age,test,M_MALAY_1X,1
gender_ethnicity_age,test,M_MALAY_2X,3
gender_ethnicity_age,test,M_MALAY_3X,6
gender_ethnicity_age,test,M_MALAY_4X,2
gender_ethnicity_age,test,M_MALAY_5X,1
gender_ethnicity_age,train,F_CHINESE_1X,16
gender_ethnicity_age,train,F_CHINESE_2X,82
gender_ethnicity_age,train,F_CHINESE_3X,29
gender_ethnicity_age,train,F_CHINESE_4X,16
gender_ethnicity_age,train,F_CHINESE_5X,20
gender_ethnicity_age,train,F_CHINESE_6X,3
