attribute,split,category,n_speakers
gender,test,F,86
gender,test,M,69
gender,train,F,397
gender,train,M,323
gender,val,F,84
gender,val,M,69
gender,all,F,567
gender,all,M,461
ethnicity,test,CHINESE,96
ethnicity,test,INDIAN,29
ethnicity,test,MALAY,30
ethnicity,train,CHINESE,441
ethnicity,train,INDIAN,139
ethnicity,train,MALAY,140
ethnicity,val,CHINESE,93
ethnicity,val,INDIAN,30
ethnicity,val,MALAY,30
ethnicity,all,CHINESE,630
ethnicity,all,INDIAN,198
ethnicity,all,MALAY,200
age_bin,test,1X,16
age_bin,test,2X,61
age_bin,test,3X,39
age_bin,test,4X,22
age_bin,test,5X,13
age_bin,test,6X,4
age_bin,train,1X,52
age_bin,train,2X,305
age_bin,train,3X,184
age_bin,train,4X,89
age_bin,train,5X,70
age_bin,train,6X,20
age_bin,val,1X,10
age_bin,val,2X,65
age_bin,val,3X,37
age_bin,val,4X,21
age_bin,val,5X,19
age_bin,val,6X,1
age_bin,all,1X,78
age_bin,all,2X,431
age_bin,all,3X,260
age_bin,all,4X,132
age_bin,all,5X,102
age_bin,all,6X,25
gender_ethnicity_age,test,F_CHINESE_1X,6
gender_ethnicity_age,test,F_CHINESE_2X,27
gender_ethnicity_age,test,F_CHINESE_3X,10
gender_ethnicity_age,test,F_CHINESE_4X,5
gender_ethnicity_age,test,F_CHINESE_5X,6
gender_ethnicity_age,test,F_CHINESE_6X,3
gender_ethnicity_age,test,F_INDIAN_1X,1
gender_ethnicity_age,test,F_INDIAN_2X,6
gender_ethnicity_age,test,F_INDIAN_3X,4
gender_ethnicity_age,test,F_INDIAN_4X,3
gender_ethnicity_age,test,F_INDIAN_5X,1
gender_ethnicity_age,test,F_MALAY_1X,2
gender_ethnicity_age,test,F_MALAY_2X,2
gender_ethnicity_age,test,F_MALAY_3X,5
gender_ethnicity_age,test,F_MALAY_4X,4
gender_ethnicity_age,test,F_MALAY_5X,1
gender_ethnicity_age,test,M_CHINESE_1X,3
gender_ethnicity_age,test,M_CHINESE_2X,19
gender_ethnicity_age,test,M_CHINESE_3X,9
gender_ethnicity_age,test,M_CHINESE_4X,4
gender_ethnicity_age,test,M_CHINESE_5X,3
gender_ethnicity_age,test,M_CHINESE_6X,1
gender_ethnicity_age,test,M_INDIAN_1X,1
gender_ethnicity_age,test,M_INDIAN_2X,4
gender_ethnicity_age,test,M_INDIAN_3X,4
gender_ethnicity_age,test,M_INDIAN_4X,4
gender_ethnicity_age,test,M_INDIAN_5X,1
gender_ethnicity_age,test,M_MALAY_1X,3
gender_ethnicity_age,test,M_MALAY_2X,3
gender_ethnicity_age,test,M_MALAY_3X,7
gender_ethnicity_age,test,M_MALAY_4X,2
gender_ethnicity_age,test,M_MALAY_5X,1
gender_ethnicity_age,train,F_CHINESE_1X,17
gender_ethnicity_age,train,F_CHINESE_2X,135
gender_ethnicity_age,train,F_CHINESE_3X,40
gender_ethnicity_age,train,F_CHINESE_4X,28
gender_ethnicity_age,train,F_CHINESE_5X,34
gender_ethnicity_age,train,F_CHINESE_6X,7
gender_ethnicity_age,train,F_INDIAN_1X,8
gender_ethnicity_age,train,F_INDIAN_2X,26
gender_ethnicity_age,train,F_INDIAN_3X,21
gender_ethnicity_age,train,F_INDIAN_4X,11
gender_ethnicity_age,train,F_INDIAN_5X,4
gender_ethnicity_age,train,F_INDIAN_6X,2
gender_ethnicity_age,train,F_MALAY_1X,4
gender_ethnicity_age,train,F_MALAY_2X,15
gender_ethnicity_age,train,F_MALAY_3X,23
gender_ethnicity_age,train,F_MALAY_4X,16
gender_ethnicity_age,train,F_MALAY_5X,5
gender_ethnicity_age,train,F_MALAY_6X,1
gender_ethnicity_age,train,M_CHINESE_1X,7
gender_ethnicity_age,train,M_CHINESE_2X,94
gender_ethnicity_age,train,M_CHINESE_3X,37
gender_ethnicity_age,train,M_CHINESE_4X,20
gender_ethnicity_age,train,M_CHINESE_5X,15
gender_ethnicity_age,train,M_CHINESE_6X,7
gender_ethnicity_age,train,M_INDIAN_1X,5
gender_ethnicity_age,train,M_INDIAN_2X,18
gender_ethnicity_age,train,M_INDIAN_3X,33
gender_ethnicity_age,train,M_INDIAN_4X,4
gender_ethnicity_age,train,M_INDIAN_5X,5
gender_ethnicity_age,train,M_INDIAN_6X,2
gender_ethnicity_age,train,M_MALAY_1X,11
gender_ethnicity_age,train,M_MALAY_2X,17
gender_ethnicity_age,train,M_MALAY_3X,30
gender_ethnicity_age,train,M_MALAY_4X,10
gender_ethnicity_age,train,M_MALAY_5X,7
gender_ethnicity_age,train,M_MALAY_6X,1
gender_ethnicity_age,val,F_CHINESE_1X,6
gender_ethnicity_age,val,F_CHINESE_2X,26
gender_ethnicity_age,val,F_CHINESE_3X,8
gender_ethnicity_age,val,F_CHINESE_4X,7
gender_ethnicity_age,val,F_CHINESE_5X,8
gender_ethnicity_age,val,F_INDIAN_1X,2
gender_ethnicity_age,val,F_INDIAN_2X,5
gender_ethnicity_age,val,F_INDIAN_3X,5
gender_ethnicity_age,val,F_INDIAN_4X,2
gender_ethnicity_age,val,F_INDIAN_6X,1
gender_ethnicity_age,val,F_MALAY_2X,4
gender_ethnicity_age,val,F_MALAY_3X,5
gender_ethnicity_age,val,F_MALAY_4X,3
gender_ethnicity_age,val,F_MALAY_5X,2
gender_ethnicity_age,val,M_CHINESE_1X,1
gender_ethnicity_age,val,M_CHINESE_2X,20
gender_ethnicity_age,val,M_CHINESE_3X,8
gender_ethnicity_age,val,M_CHINESE_4X,4
gender_ethnicity_age,val,M_CHINESE_5X,5
gender_ethnicity_age,val,M_INDIAN_2X,5
gender_ethnicity_age,val,M_INDIAN_3X,6
gender_ethnicity_age,val,M_INDIAN_4X,2
gender_ethnicity_age,val,M_INDIAN_5X,2
gender_ethnicity_age,val,M_MALAY_1X,1
gender_ethnicity_age,val,M_MALAY_2X,5
gender_ethnicity_age,val,M_MALAY_3X,5
gender_ethnicity_age,val,M_MALAY_4X,3
gender_ethnicity_age,val,M_MALAY_5X,2
gender_ethnicity_age,all,F_CHINESE_1X,29
gender_ethnicity_age,all,F_CHINESE_2X,188
gender_ethnicity_age,all,F_CHINESE_3X,58
gender_ethnicity_age,all,F_CHINESE_4X,40
gender_ethnicity_age,all,F_CHINESE_5X,48
gender_ethnicity_age,all,F_CHINESE_6X,10
gender_ethnicity_age,all,F_INDIAN_1X,11
gender_ethnicity_age,all,F_INDIAN_2X,37
gender_ethnicity_age,all,F_INDIAN_3X,30
gender_ethnicity_age,all,F_INDIAN_4X,16
gender_ethnicity_age,all,F_INDIAN_5X,5
gender_ethnicity_age,all,F_INDIAN_6X,3
gender_ethnicity_age,all,F_MALAY_1X,6
gender_ethnicity_age,all,F_MALAY_2X,21
gender_ethnicity_age,all,F_MALAY_3X,33
gender_ethnicity_age,all,F_MALAY_4X,23
gender_ethnicity_age,all,F_MALAY_5X,8
gender_ethnicity_age,all,F_MALAY_6X,1
gender_ethnicity_age,all,M_CHINESE_1X,11
gender_ethnicity_age,all,M_CHINESE_2X,133
gender_ethnicity_age,all,M_CHINESE_3X,54
gender_ethnicity_age,all,M_CHINESE_4X,28
gender_ethnicity_age,all,M_CHINESE_5X,23
gender_ethnicity_age,all,M_CHINESE_6X,8
gender_ethnicity_age,all,M_INDIAN_1X,6
gender_ethnicity_age,all,M_INDIAN_2X,27
gender_ethnicity_age,all,M_INDIAN_3X,43
gender_ethnicity_age,all,M_INDIAN_4X,10
gender_ethnicity_age,all,M_INDIAN_5X,8
gender_ethnicity_age,all,M_INDIAN_6X,2
gender_ethnicity_age,all,M_MALAY_1X,15
gender_ethnicity_age,all,M_MALAY_2X,25
gender_ethnicity_age,all,M_MALAY_3X,42
gender_ethnicity_age,all,M_MALAY_4X,15
gender_ethnicity_age,all,M_MALAY_5X,10
gender_ethnicity_age,all,M_MALAY_6X,1
total_speakers,all,ALL,1028
